[2024-08-13 18:47:46.548] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.553] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.557] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.562] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.566] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.571] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.575] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.579] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.584] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.588] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.594] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.599] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.603] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.608] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.612] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.617] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.621] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.626] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.631] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.635] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.639] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.644] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.649] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.653] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.658] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.662] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.666] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.671] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.677] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.681] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.686] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.691] [APP] [debug] v_x: 0, v_y: 0
