[2024-08-13 19:35:07.743] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.747] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.751] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.755] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.760] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.763] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.768] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.772] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.776] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.780] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.785] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.788] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.793] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.796] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.801] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.806] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.812] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.817] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.822] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.829] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.834] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.838] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.842] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.849] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.853] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.860] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.865] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.872] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.876] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.880] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.884] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.889] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.895] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.898] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.905] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.909] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.913] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.918] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.922] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.926] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.930] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.935] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.942] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.947] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.951] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.955] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.959] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.963] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.968] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.975] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.980] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.986] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.992] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.997] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.001] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.005] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.009] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.014] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.018] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:08.022] [APP] [debug] x: 5000, y: 0
